number,title,user,labels,created_at,updated_at,closed_at,body
50434,Fix: #50293 Bump ActiveSupport::Cache.format_version to 7.1,rubyrider,"activesupport, railties",2023-12-24T00:43:36Z,2023-12-24T06:10:32Z,2023-12-24T04:32:08Z,"### Motivation / Background
This pull request fixed the issue https://github.com/rails/rails/issues/50293 

The issue was:
```bash
% rails server
DEPRECATION WARNING: Support for `config.active_support.cache_format_version = 6.1` has been deprecated and will be removed in Rails 7.2.

Check the Rails upgrade guide at https://guides.rubyonrails.org/upgrading_ruby_on_rails.html#new-activesupport-cache-serialization-format
for more information on how to upgrade.
```

As per the message itself the `ActiveSupport::Cache.format_version` should not have the version 6.1. But the actual version is still 6.1. So this pull request bumped the format version to the latest 7.1. This pull request also ensured a test coverage to check the current version to 7.1 as well. 


<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

This Pull Request has been created because `ActiveSupport::Cache.format_version` was assigned to 6.1 with rails 7.2 which is not not expected from 7.2.

### Detail

This Pull Request changes `ActiveSupport::Cache.format_version` from 6.1 to 7.1

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

### Checklist

Before submitting the PR make sure the following are checked:

* [ ] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [ ] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50433,Add flexibility to argument check in docker entrypoint,motdotla,railties,2023-12-22T23:00:12Z,2023-12-22T23:00:17Z,,"This allows prepending commands to `./bin/rails server` as the Docker CMD when running this container, e.g. `some-binary-or-script -- ./bin/rails server -b 0.0.0.0`.

### Motivation / Background

This Pull Request has been created because I wanted to prepend the `bin/rails server` command with another binary `dotenvx run --` but have it still run `db:prepare` as expected.

```
# Dockerfile
...
CMD [""dotenvx"", ""run"", ""--debug"", ""--"", ""./bin/rails"", ""server""]
```

### Detail

This Pull Request changes the docker entrypoint, so `bin/rails server` (or `bin/rails s`) can be found at any location in the run `CMD` for checking if we should run the db:prepare step.

### Additional information

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* N/A Tests are added or updated if you fix a bug or add a feature.
* N/A CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50432,Document missing `:using` and `:where` options for `add_exclusion_constraint` [skip ci],fatkodima,activerecord,2023-12-22T22:37:51Z,2023-12-22T22:37:55Z,,"Exclusion constraints were added in https://github.com/rails/rails/pull/40224. 
`add_exclusion_constraint` supports `:using` and `:where` options, but these were missing from the documentation."
50431,Add `exclusion_constraint_exists?` and `unique_constraint_exists?` helpers,fatkodima,activerecord,2023-12-22T22:18:21Z,2023-12-22T22:18:45Z,,"Exclusion constraints were added in https://github.com/rails/rails/pull/40224 and unique constraints were added in https://github.com/rails/rails/pull/46192.

Both lacks an ability to check if the constraint already exists, to make, for example, adding constraints idempotent. 
This ability already exists for check constraints, for example (same for foreign keys, indexes etc)."
50430,Introduce predicate definition when defining scopes,stevepolitodesign,"activerecord, docs",2023-12-22T18:05:28Z,2023-12-24T01:55:51Z,,"### Motivation / Background

Creates parity between scopes and instances of records, similar to how [enums](https://guides.rubyonrails.org/active_record_querying.html#enums) automatically create instance methods that query whether the model belongs to that scope.

```ruby
class Book < ApplicationRecord
  scope :out_of_print, -> { where(out_of_print: true) }, predicate: true
  # Creates instance method named `within_out_of_print?`

  scope :in_print, -> { where(out_of_print: false) }, predicate: :in_print
  # Creates instance method named `in_print?`
end
```

```irb
irb> Book.out_of_print.first.within_out_of_print?
=> true

irb> Book.in_print.first.in_print?
=> true
```

### Detail

Adds `**options` argument to `scope` definition, allowing caller to optionally pass `predicate: true` or `predicate: :desired_predicate_name`.

The goal is to keep this feature opt-in to avoid automatically creating a method for each and every scope.

Additionally, we default to `within_<scope_name>` as to not conflict with the instance methods generated by [enums](https://guides.rubyonrails.org/active_record_querying.html#enums)

### Additional information

This should be compatible with [Composite Primary Keys](https://guides.rubyonrails.org/active_record_composite_primary_keys.html), but existing fixtures did not exist (as far as I could tell).

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50429,[ActionMailbox] Replace test/dummy with railtie-like test harness,zzak,actionmailbox,2023-12-22T07:30:52Z,2023-12-22T07:30:56Z,,See #50427 for context.
50428,[ActionText] Replace test/dummy with railtie-like test harness,zzak,actiontext,2023-12-22T07:30:30Z,2023-12-22T07:30:34Z,,See #50427 for context.
50427,[ActiveStorage] Replace test/dummy with railtie-like test harness,zzak,activestorage,2023-12-22T07:29:48Z,2023-12-22T12:16:52Z,,"This PR is a proof-of-concept for removing the dummy applications from [Active Storage, Action Mailbox, and Action Text]. I've split them up into separate PRs so that they are easier to review and rebase when necessary.

## Callouts

* This code is intended for feedback, on the approach and determine what follow-up work could be done
* There is still need for polish, like removing unnecessary boiler-plate, fixing CI, making sure we don't leak logs, etc.
* This doesn't replace the need for a true integration test where the application is generated at test time

## Motivation

The dummy apps were last updated in #47259 and previously in #42286.

There is an interest from inside the core team to get rid of them.

> In my option, It doesn't make sense to upgrade dummy apps inside the framework every time we change the framework itself. Probably those dummy apps get outdated daily, and it is very likely we will change Rails in a way that would break those frameworks but the test will not catch because the dummy app is outdated.
> 
> If you want to work in that direction, it would be great.

"
50425,Remove unused argument in .db_configs_with_versions,wildmaples,activerecord,2023-12-21T21:48:50Z,2023-12-21T22:23:28Z,2023-12-21T22:23:24Z,"### Motivation / Background

`db_configs` is unused in `db_configs_with_versions` 

### Detail

Remove the method argument

### Additional information


### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50424,Add `explain` support for calculation methods like `count`,p8,activerecord,2023-12-21T19:56:56Z,2023-12-21T21:17:40Z,,"Allow `explain` to take an operation and column name as argument:

```ruby
User.all.explain(:count)
# => ""EXPLAIN SELECT COUNT(*) FROM `users`""

User.all.explain(:maximum, :id)
# => ""EXPLAIN SELECT MAX(`users`.`id`) FROM `users`""
```

This breaks passing options like `:analyze` and `:buffers` as arguments.
These can be passed as named argument instead:

```ruby
User.all.explain(options: [:analyze, :buffers])
# => ""EXPLAIN ANALYZE BUFFERS SELECT ...
```

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50423,Link to query assertions in testing guide [ci-skip],p8,docs,2023-12-21T17:03:39Z,2023-12-22T09:36:05Z,,"We can link to the recently added queries as edge guides [link ](https://edgeguides.rubyonrails.org/ruby_on_rails_guides_guidelines.html#linking-to-the-api)to edge API docs.
For readability the links are extracted.

cc @fatkodima @siaw23 

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50422,Include view tests in rake stats,nhorton,railties,2023-12-21T16:47:06Z,2023-12-22T01:03:43Z,,"### Motivation / Background
When View tests were added to rails, the directory containing them was not added to the list of directories that are analyzed by the `stats` task. This adds them to the list.

There are no tests covering the set of directories analyzed or such, so no additional tests are added in this."
